t,Left ventricular pressure,Ascending aorta pressure
0.0,3.67732260085345,7.444639309019804
0.01,2.679678816669164,5.922541313710548
0.02,3.257384137531592,7.876270133434629
0.03,3.0980230190759714,5.697967585549123
0.04,4.351768555331822,7.497153753584379
0.05,5.724185841035083,6.396158986957945
0.06,5.582998261034661,8.418957232912067
0.07,6.106177120544688,6.561908051638728
0.08,7.384642511234462,4.87114127324543
0.09,8.857816885779796,5.351986684229479
0.1,8.5898216214101,8.23142694168342
0.11,9.519503985367685,8.366155324014164
0.12,9.956457709367251,9.53131514350872
0.13,10.2210895028424,10.568142972290705
0.14,12.034151548623994,11.38265057572131
0.15,11.882775838052238,10.839126564747502
0.16,13.24741520852174,11.360105367416722
0.17,12.148684312467068,12.2799496096361
0.18,12.62735897128738,13.248474505859093
0.19,12.972133119037524,13.755605277465069
0.2,13.195816119104292,12.98438267924163
0.21,13.480212574604568,12.3203361127741
0.22,14.13105514912588,13.85480749874045
0.23,14.110315301891797,14.746607915650465
0.24,13.74220366011345,14.059274821065987
0.25,14.618625455677115,12.28579124310479
0.26,13.595466224699596,13.626937508119703
0.27,12.913688652631528,13.896548545465999
0.28,13.885901942565988,13.023714882561466
0.29,14.304494064832058,15.80302278944129
0.3,13.25321551115789,12.712526125291928
0.31,12.994168797063208,14.22503192318105
0.32,12.948929361507652,13.37712628932561
0.33,13.211049664218075,11.897575755276929
0.34,12.0803579948874,12.55898006797519
0.35,12.149834846492348,11.325500476993465
0.36,11.0958335848265,12.710086769645258
0.37,10.059488351853068,10.795158130986199
0.38,8.49722830769598,11.772191736709921
0.39,6.901286697335276,11.079422198592601
0.4,7.293718456391544,9.669221462758399
0.41,4.830768893812581,10.047446106007676
0.42,4.081478923116737,10.913853977566658
0.43,4.575225426765403,10.620643076027955
0.44,2.462228502025285,8.65149786414008
0.45,2.0773392239062534,8.657386448704756
0.46,2.4187996369722065,9.058755745141417
0.47,2.11839133010933,10.30423175679015
0.48,2.425095754567509,9.29373095946926
0.49,3.385236325012894,9.137808255740175
0.5,2.847428725077109,9.129911411365686
0.51,2.744959103118274,8.263769855703838
0.52,3.3952995547771487,9.180216389512939
0.53,3.383457885297167,9.427630289569967
0.54,3.629251934029052,9.337923186496141
0.55,3.22503830828586,8.50422489587366
0.56,3.658828576499278,9.311172876057027
0.5700000000000001,4.188595645454852,8.58669679236267
0.58,3.39544663412343,7.197856825716742
0.59,3.5560201742701354,8.707693106133506
0.6,2.676284409012628,9.489522798108453
0.61,2.81154739511914,9.91230249070645
0.62,2.727194577811077,7.0528164332682195
0.63,3.996032170037414,8.251454314835403
0.64,3.823489000121112,7.072054553651018
0.65,3.862800283473424,7.764190063015156
0.66,3.2459116691017,7.882375196269513
0.67,2.9068356940020013,7.958580312355359
0.68,3.378579698928308,8.887609191116981
0.6900000000000001,2.6549511235796075,6.7719454264597
0.7000000000000001,3.82450427282282,8.480814054672422
0.71,3.1953107671728307,7.732285636178702
0.72,3.2925680636333183,6.914515739260823
0.73,3.488048119330144,8.061251212842729
0.74,3.0155911275656617,8.339447913357207
0.75,3.315858504720583,8.173345254154604
0.76,3.510547252328062,6.774362547648915
0.77,3.1463852204451066,6.576020753516408
0.78,4.062664517286022,8.16205455931417
0.79,2.8246326387596,6.782710697720257
0.8,3.131203691591685,7.4545756658070745
0.81,3.007770117834162,7.471307280773361
0.8200000000000001,2.630394167654062,6.765264111450267
0.8300000000000001,3.0778225264517087,7.694025951251006
0.84,3.1435939752209845,7.4749819618414985
0.85,3.5652981611205523,6.938844114381017
0.86,2.589044172414798,6.431363400697462
0.87,3.1427244637275007,7.4177787125055055
0.88,4.103109376948297,7.1726340555048695
0.89,3.636762011237925,6.137804183798908
0.9,3.4745895548162995,6.791021988314081
0.91,3.5280576589758783,7.077978361786467
0.92,4.330358912289359,7.619254168956369
0.93,4.007267673402414,6.019681466078545
0.94,3.242367853350098,5.248329564341043
0.95,2.771430010034376,8.468584982393526
0.96,3.4507206567680564,7.285204515240892
0.97,3.179962927886021,8.064039353091772
0.98,3.1339417286685847,5.4146711067366
0.99,4.035784514012592,6.845280506618721
1.0,5.043927779018054,6.333491714277616
1.01,4.640249778704167,6.998519339274547
1.02,4.809077931471481,5.941007565799448
1.03,5.67992512073874,6.9177224434474285
1.04,6.259128093741029,6.8619273276409105
1.05,7.728401467652334,6.675030696310686
1.06,8.236712352917937,5.500695015942016
1.07,8.871621993274768,7.794597702614185
1.08,10.181327185269437,9.808788489280564
1.09,10.13843414206796,12.308289932586693
1.1,9.97278562255628,10.449892845444925
1.11,12.048277225276758,10.1642498848558
1.12,12.666258912793037,10.275851654428903
1.13,12.420383860676468,11.35263813453946
1.14,12.279996059694415,11.61086964937331
1.15,13.11776229208417,12.071965960897261
1.16,12.318195768500228,14.914154782441432
1.17,13.772778087540296,14.602441751357492
1.18,14.903332794370908,14.646050271478279
1.19,14.14927483798039,13.805878739490263
1.2,14.539035177341344,13.32817565037767
1.21,14.228805808606714,15.579277400027294
1.22,14.807870935449872,13.842541179168528
1.23,15.165062662533527,13.445824881166732
1.24,15.313785593262608,15.08450603956004
1.25,13.451239549311795,13.823910000177355
1.26,13.16533824217551,13.933439597005496
1.27,13.221691144007352,12.769927335386878
1.28,13.501811621433491,13.683066292459849
1.29,12.897183072071764,13.319470325375956
1.3,12.935587802790412,12.658024901577122
1.31,13.038338133107704,13.38343801021767
1.32,12.11168387160801,11.76378324590962
1.33,10.847175517331069,12.70269178818261
1.34,10.126484326473404,10.426922646447167
1.35,8.873515096072872,11.667276954550495
1.36,7.664448973787511,10.707875264517506
1.37,7.244962983302593,10.206342645718763
1.38,5.311257022079025,10.008513027969457
1.39,4.245295526233413,9.64341724516285
1.4,3.4323777800861155,10.521714107920106
1.41,2.986255967463106,9.867348505648495
1.42,3.336822538019227,9.411447819334308
